URL,Name,Image,Price,Sizes,Sold Out
https://www.lobstersnowboards.com/shop/eiki-pro-model--459,Eiki Pro Model,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-lobster-web-double3-740-767.png,US$449.95,"[""148"", ""151"", ""154"", ""154W""]","[true, false, false, true]"
https://www.lobstersnowboards.com/shop/halldor-pro-model--460,Halldor Pro Model,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-lobster-web-double3-740.png,US$499.95,"[""150"", ""153"", ""156"", ""157W"", ""160W""]","[false, false, true, false, false]"
https://www.lobstersnowboards.com/shop/halldor-pro-asym-461,Halldor Pro Asym,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-lobster-web-double4-741.png,US$489.95,"[""153"", ""156""]","[true, true]"
https://www.lobstersnowboards.com/shop/jibboard--463,Jibboard,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-lobster-web-double5-737.png,US$379.95,"[""144"", ""148"", ""151"", ""153"", ""155"", ""154W""]","[true, true, true, true, true, true]"
https://www.lobstersnowboards.com/shop/parkboard--464,Parkboard,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-lobster-web-double6-742.png,US$399.95,"[""148"", ""151"", ""154"", ""156W"", ""157""]","[true, true, false, true, false]"
https://www.lobstersnowboards.com/shop/floater-465,Floater,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-lobster-web-double2-743.png,US$479.95,"[""151"", ""154"", ""156"", ""159""]","[false, false, false, true]"
https://www.lobstersnowboards.com/shop/the-sender--466,The Sender,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-lobster-web-double7-744.png,US$489.95,"[""152"", ""154"", ""157"", ""159W"", ""162W""]","[false, true, true, true, true]"
https://www.lobstersnowboards.com/shop/jibboard-set-462,Jibboard Set,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-jib-board-set-top-web-748.png,US$459.95,"[""144// S Binding"", ""148/ S Binding"", ""151/ M Binding"", ""153/ M Binding"", ""155/ M Binding"", ""154W/ L Binding""]","[true, true, true, true, true, true]"
https://www.lobstersnowboards.com/shop/a-a--reaper-467,A.A. Reaper,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-lobster-web-double9-858.png,US$459.95,"[""148"", ""151"", ""154"", ""154W""]","[true, true, true, true]"
https://www.lobstersnowboards.com/shop/a-a--sea-creature-468,A.A. Sea Creature,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1718-lobster-web-double8-859.png,US$499.95,"[""150"", ""153"", ""156"", ""157W"", ""160W""]","[true, true, true, true, true]"
https://www.lobstersnowboards.com/shop/parkboard-special-addition-419,Special Addition Parkboard,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-boards15-375.png,US$449.95,"[""148"", ""151"", ""154"", ""156W"", ""157""]","[true, false, true, false, false]"
https://www.lobstersnowboards.com/shop/parkboard-special-addition-417,Random Addition,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-boards16-374.png,US$499.95,"[""151"", ""154"", ""156""]","[true, true, false]"
https://www.lobstersnowboards.com/shop/jibboard-special-addition-313,Jib board SA Suck It!,https://www.lobstersnowboards.com/lobster1718/prod_images/med/jibboard-special-addition-313-1-392.png,US$299.99,"[""148"", ""151"", ""153""]","[true, true, true]"
https://www.lobstersnowboards.com/shop/parkboard-special-addition-315,Parkboard SA Partysnake,https://www.lobstersnowboards.com/lobster1718/prod_images/med/parkboard-special-addition-315-1-390.png,US$320.99,"[""148"", ""151"", ""154"", ""156W""]","[true, true, true, true]"
https://www.lobstersnowboards.com/shop/jibboard-sa-burn-the-_itch-246,Jibboard SA BURN THE _ITCH,https://www.lobstersnowboards.com/lobster1718/prod_images/med/jibbaord-special-addition-144-246-1393-1-398.png,US$283.99,"[""144"", ""148"", ""151"", ""153"", ""154W""]","[true, true, true, true, true]"
https://www.lobstersnowboards.com/shop/parkboard-sa-trexunicornfathumanpig-247,Parkboard SA TREXUNICORNFATHUMANPIG,https://www.lobstersnowboards.com/lobster1718/prod_images/med/parkbaord-special-addition---148-247-1398-1-400.png,US$399.95,"[""148"", ""151"", ""154"", ""156W""]","[true, true, true, true]"
https://www.lobstersnowboards.com/shop/jibboard-sa-haircut-196,Jibboard SA Haircut,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-special-add-1-450.png,US$338.99,"[""144"", ""148"", ""151"", ""153"", ""154W""]","[true, true, true, true, true]"
https://www.lobstersnowboards.com/shop/parkboard-sa-rv-juice-199,Parkboard SA RV Juice,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-special-add-2-451.png,US$299.99,"[""148"", ""151"", ""154"", ""156W""]","[true, true, true, true]"
https://www.lobstersnowboards.com/shop/jibbaord-sa-30,2012 JIBBOARD SA CANDY MACHINE,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-special-add-3-455.png,US$291.99,"[""144"", ""148"", ""151"", ""153"", ""154W""]","[true, true, true, true, true]"
https://www.lobstersnowboards.com/shop/parkbaord-sa-31,2012 PARKBOARD SA SKETCHY ALLEY,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-special-add-2-457.png,US$278.99,"[""148"", ""151"", ""154"", ""156W""]","[true, true, true, true]"
https://www.lobstersnowboards.com/shop/jibbboard-sa-std-121,Jibbboard SA STD,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-special-add-5-453.png,US$259.95,"[""144"", ""148"", ""151"", ""153""]","[true, true, true, true]"
https://www.lobstersnowboards.com/shop/parkbaord-sa-troublemaker-123,PARKBOARD SA TROUBLEMAKER,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-special-add-4-460.png,US$279.95,"[""152"", ""154"", ""157""]","[true, true, false]"
https://www.lobstersnowboards.com/shop/halldor-pro-469,Halldor Pro,https://www.lobstersnowboards.com/switchback1718/prod_images/med/combo-front--829.png,US$299.95,"[""XS"", ""M""]","[false, false]"
https://www.lobstersnowboards.com/shop/eiki-pro--470,Eiki Pro,https://www.lobstersnowboards.com/switchback1718/prod_images/med/aeron-front-web-812.png,US$259.95,"[""XS"", ""M""]","[false, false]"
https://www.lobstersnowboards.com/shop/parkboard--399,Parkboard,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-boards13-301.png,US$321.99,"[""148"", ""151"", ""154"", ""156W"", ""157""]","[true, true, true, true, false]"
https://www.lobstersnowboards.com/shop/jibboard-398,Jibboard,https://www.lobstersnowboards.com/lobster1718/prod_images/med/1617-boards4-302.png,US$298.99,"[""138"", ""144"", ""148"", ""151"", ""153"", ""155"", ""154W""]","[false, true, true, true, true, true, true]"
https://www.lobstersnowboards.com/shop/halldor-pro-model-311,Halldor Pro Model,https://www.lobstersnowboards.com/lobster1718/prod_images/med/halldor-pro-model-153-311-1608-3-394.png,US$348.99,"[""153"", ""156""]","[true, false]"
https://www.lobstersnowboards.com/shop/freestyleboard--310,Freestyleboard,https://www.lobstersnowboards.com/lobster1718/prod_images/med/freestyleboard--152-310-1604-2-395.png,US$334.99,"[""152"", ""154"", ""157"", ""156 Wide""]","[true, true, false, true]"
